Id,Nombre,Apellido,Apellido2,Telefono,Modalidad
1001,Marcos,Martínez,Fernández,687613920,Profesional
1002,Carlos,García,Martínez,699788130,Particular
1003,Manuel,Rodríguez,Fernández,654122233,Particular
1004,Alberto,Sánchez,Muñoz,676256548,Profesional
1005,Daniel,Palomar,López,626362412,Particular
1006,Juan,Ruiz,Gómez,689122254,Particular
1007,Agustín,Fernández,Pascal,644788968,Profesional
1008,Pedro,García,Moreno,630456878,Particular
1009,Alfonso,Campos,Sanz,645878238,Particular
1010,Carlos,Sáez,Rodríguez,655201540,Particular
